Title,Department,Genre,BorrowDate,Count
Quantum Physics,History,Biography,2024-07-03,18
Digital Logic Design,Engineering,Education,2021-08-05,7
Operating Systems,Economics,Fiction,2025-11-19,19
Robotics,Biology,Science,2023-08-13,13
Digital Logic Design,History,Education,2024-03-10,16
Cyber Ethics,Chemistry,Reference,2020-03-18,15
Civil Engineering Basics,Economics,Technology,2023-06-12,8
Organic Chemistry,Chemistry,Reference,2021-01-30,9
Organic Chemistry,Chemistry,Technology,2024-08-28,10
Genetics,Engineering,Biography,2025-07-11,14
Data Structures,Computer Science,Reference,2021-10-26,20
Machine Learning,Biology,Technology,2025-08-23,20
Operating Systems,Engineering,Mystery,2022-08-05,15
Poetry Collection,Physics,Education,2023-11-21,9
Environmental Studies,Economics,Science,2024-03-23,5
Cyber Ethics,History,Reference,2023-06-23,11
Advanced Mathematics,Biology,Education,2024-04-10,17
Cyber Ethics,Mathematics,Mystery,2020-02-07,15
Organic Chemistry,Economics,Education,2025-05-09,8
Robotics,Biology,Education,2023-11-24,20
Cyber Ethics,Engineering,Reference,2022-10-14,19
Civil Engineering Basics,Mathematics,Science,2024-03-24,8
Poetry Collection,Chemistry,Science,2021-08-28,20
Digital Electronics,History,Biography,2020-08-19,19
Quantum Physics,Biology,Fiction,2020-05-02,8
Cyber Ethics,History,Technology,2020-09-02,10
Organic Chemistry,History,Mystery,2021-11-26,17
Organic Chemistry,Mathematics,Technology,2020-04-19,16
Genetics,Biology,Mystery,2022-04-03,6
Human Anatomy,History,Technology,2024-03-10,15
Microprocessors,Physics,Biography,2020-04-20,20
Robotics,Mathematics,Technology,2025-04-28,14
Advanced Mathematics,Engineering,Science,2025-06-09,17
Quantum Physics,Physics,Education,2025-08-20,7
Advanced Mathematics,Physics,Mystery,2025-03-11,6
Advanced Mathematics,Economics,Technology,2022-07-13,5
Artificial Intelligence,Engineering,Fiction,2024-10-29,15
Genetics,Economics,Science,2023-07-28,5
Organic Chemistry,Biology,Biography,2025-03-19,17
Data Structures,Biology,Education,2021-06-07,11
Quantum Physics,Mathematics,Fiction,2022-07-07,18
Modern History,Computer Science,Reference,2022-01-21,10
Microprocessors,Computer Science,Fiction,2021-12-22,10
Robotics,Computer Science,Mystery,2020-01-01,5
Microprocessors,Chemistry,Mystery,2022-07-22,16
Civil Engineering Basics,Physics,Reference,2020-10-14,9
Microprocessors,English,Fiction,2021-04-16,17
Modern History,Biology,Technology,2024-10-18,20
Digital Electronics,Mathematics,Mystery,2020-08-25,6
Advanced Mathematics,Biology,Education,2021-01-06,16
Cyber Ethics,History,Mystery,2021-03-04,11
Network Security,History,Mystery,2023-01-14,11
Modern History,Engineering,Fiction,2022-11-11,6
Cyber Ethics,Economics,Reference,2021-11-14,5
Cyber Ethics,Mathematics,Technology,2022-06-13,9
Microprocessors,English,Fiction,2021-03-27,17
Organic Chemistry,Chemistry,Mystery,2024-03-18,11
Civil Engineering Basics,Chemistry,Technology,2024-01-28,12
Network Security,Mathematics,Fiction,2020-07-13,20
Poetry Collection,Computer Science,Fiction,2023-10-31,11
Civil Engineering Basics,Chemistry,Education,2021-04-10,19
Advanced Mathematics,Computer Science,Education,2025-02-04,10
Artificial Intelligence,Computer Science,Fiction,2020-11-06,13
Artificial Intelligence,Chemistry,Biography,2024-06-11,14
Genetics,Computer Science,Education,2020-04-26,20
Digital Logic Design,Biology,Science,2025-05-29,8
Operating Systems,Chemistry,Technology,2025-11-13,12
Network Security,History,Science,2024-11-28,18
Robotics,Engineering,Mystery,2022-12-10,20
Quantum Physics,Chemistry,Technology,2023-01-13,6
Cyber Ethics,Mathematics,Technology,2023-05-09,12
Poetry Collection,Computer Science,Reference,2021-10-09,10
Quantum Physics,Mathematics,Science,2021-04-24,5
Machine Learning,Engineering,Technology,2024-06-15,20
Microprocessors,Chemistry,Fiction,2022-06-07,13
Digital Logic Design,Engineering,Technology,2021-11-24,15
Organic Chemistry,History,Mystery,2022-02-24,20
Machine Learning,History,Technology,2024-10-21,11
Digital Logic Design,Mathematics,Mystery,2020-02-27,13
Organic Chemistry,Computer Science,Biography,2025-03-18,7
Environmental Studies,Physics,Education,2020-02-16,14
Digital Electronics,History,Reference,2021-01-05,15
Cyber Ethics,Biology,Reference,2022-09-19,6
Cyber Ethics,Engineering,Reference,2020-01-22,20
Digital Logic Design,Computer Science,Reference,2024-08-27,15
Network Security,Biology,Biography,2021-03-14,13
Quantum Physics,Biology,Reference,2021-07-01,16
Environmental Studies,Chemistry,Fiction,2021-04-02,10
Human Anatomy,Engineering,Technology,2025-01-10,5
Advanced Mathematics,Computer Science,Education,2021-08-10,12
Digital Logic Design,Computer Science,Reference,2020-10-01,10
Poetry Collection,Physics,Technology,2023-08-06,10
Network Security,History,Fiction,2021-09-17,9
Civil Engineering Basics,Physics,Technology,2025-12-05,20
Quantum Physics,Physics,Fiction,2022-01-08,16
Quantum Physics,History,Education,2022-05-23,13
Operating Systems,Economics,Science,2020-11-08,15
Modern History,Chemistry,Science,2020-10-11,11
Modern History,English,Reference,2023-12-21,19
Advanced Mathematics,History,Biography,2023-05-18,15
Organic Chemistry,History,Fiction,2020-02-16,7
Environmental Studies,Mathematics,Science,2025-05-08,13
Robotics,Physics,Fiction,2025-07-21,14
Modern History,Physics,Reference,2023-05-07,14
Civil Engineering Basics,Economics,Technology,2022-10-24,12
Modern History,English,Science,2025-01-28,14
Machine Learning,Chemistry,Mystery,2024-04-07,5
Modern History,History,Mystery,2021-12-22,15
Genetics,Biology,Education,2021-01-15,12
Genetics,English,Education,2021-11-08,6
Robotics,Computer Science,Science,2022-11-23,19
Poetry Collection,Physics,Biography,2020-07-10,16
Database Systems,Engineering,Reference,2023-09-27,18
Cyber Ethics,Computer Science,Technology,2021-03-29,7
Digital Electronics,English,Reference,2022-11-15,5
Human Anatomy,History,Mystery,2025-06-01,16
Organic Chemistry,Economics,Science,2022-09-29,16
Human Anatomy,Engineering,Biography,2025-06-24,16
Genetics,Economics,Biography,2020-09-21,9
Genetics,Physics,Fiction,2020-07-13,15
Data Structures,Mathematics,Mystery,2025-08-05,13
Human Anatomy,Economics,Reference,2024-05-18,7
Microprocessors,Mathematics,Education,2024-11-20,17
